column1,id,actual_price,average_rating,brand,category,discount,out_of_stock,seller,selling_price,sub_category
3187,00005493-1875-5b43-8061-20c7d0cbe6b1,545,3.799999952,AXMA,Clothing and Accessories,10,FALSE,ModaElementi,490,Topwear
21654,0003c6ae-73c1-5f18-a5e6-778e5f7b8804,999,2.299999952,T10 Spor,Clothing and Accessories,50,FALSE,T10Sports,499,Topwear
12218,000636e4-07c0-5d26-adfd-f6114389edb7,1049,2.5,ECKO Unl,Clothing and Accessories,30,FALSE,SandSMarketing,734,Topwear
29383,000cb2a8-7ae7-5905-a828-9a9ebc9947b8,1799,3.900000095,Keo,Clothing and Accessories,63,FALSE,Keoti,664,Topwear
3214,000d890b-13a7-5fdd-b740-e7136806575c,1845,3.799999952,AXMA,Clothing and Accessories,49,FALSE,ModaElementi,923,Winter Wear
1536,000f6224-fa1b-5771-b73d-a1f21773101c,1651,3.599999905,Bindass Bo,Clothing and Accessories,62,FALSE,Tanufash,620,Bottomwear
3691,000fe678-23a2-595b-86bf-5c6ece756471,1299,4.300000191,SEVN,Clothing and Accessories,71,FALSE,Madster,369,Topwear
17449,0013bc06-90e6-5f5a-872a-2f4daa082ab1,999,4.099999905,GYMBROTHE,Clothing and Accessories,52,FALSE,NUTROCRATS,479,Topwear
29687,00172f7f-1223-57c0-87a4-c7db24218544,3199,3.799999952,Oka,Clothing and Accessories,39,FALSE,OKANE,1920,Winter Wear
12949,00182f84-0705-5b63-a54b-6b964425ffea,2299,2.5,ECKO Unl,Clothing and Accessories,67,FALSE,SandSMarketing,758,Winter Wear
20245,001af927-70f1-5534-88e3-38cf4277386c,1299,3.799999952,KAY D,Clothing and Accessories,73,FALSE,KayDee,341,Topwear
10,002b976d-e1b3-5005-ad75-f8ac821380e9,4499,3.799999952,York,Clothing and Accessories,76,FALSE,Shyam Enterprises,1074,Bottomwear
7294,002bd348-94c5-5438-8f7c-58da0918ff4f,999,2.900000095,Dudli,Clothing and Accessories,20,FALSE,DudlindFashion,799,Topwear
9155,002c8c50-21a4-5e4d-b179-9003c45ab9a7,949,3.200000048,MASH UNLIMIT,Clothing and Accessories,65,FALSE,HIGHSTREET TRENDZ LLP,329,Topwear
5197,002c913e-6414-56a5-9564-65eca80e5c24,999,3.5,Bone,Footwear,65,FALSE,Manojsunda,341,Men's Footwear
25813,002d9a45-6746-57dd-924a-a5f17fc17477,1999,4.099999905,Mah,Clothing and Accessories,73,FALSE,Mahir Apparels,525, Kurtas Ethnic Sets and Bottoms
27413,002eb895-9af3-526f-aeb0-7fa6535e3aad,4999,4.199999809,Pu,Clothing and Accessories,40,FALSE,RetailNet,2999,Winter Wear
2566,0031c5ad-8477-566c-b94a-f2442cb71162,2799,4.5,REEB,Clothing and Accessories,30,FALSE,RetailNet,1959,Bottomwear
